"","state_node","node_id","layer_id","module","type","k_total","k_m","z_score","c_score","role"
"1",1,1,1,13,"Plant",4,1,-0.670820393249937,0.75,"connector"
"2",2,2,1,7,"Plant",2,1,-0.322017583811132,0.5,"peripheral"
"3",3,3,1,7,"Plant",26,10,3.1557723213491,0.813609467455621,"network hub"
"4",4,4,1,1,"Plant",13,3,0.612372435695794,0.863905325443787,"connector"
"5",5,4,2,1,"Plant",3,2,0,0.444444444444444,"peripheral"
"6",6,5,1,1,"Plant",8,2,0,0.84375,"connector"
"7",7,5,2,1,"Plant",2,2,0,0,"peripheral"
"8",8,6,1,3,"Plant",15,5,1.26118525018893,0.826666666666667,"connector"
"9",9,7,1,8,"Plant",12,4,1.95180014589707,0.819444444444444,"connector"
"10",10,7,2,8,"Plant",1,0,-0.975900072948533,0,"peripheral"
"11",11,8,1,3,"Plant",9,5,1.26118525018893,0.641975308641975,"connector"
"12",12,9,1,5,"Plant",3,1,-0.629342524459685,0.666666666666667,"connector"
"13",13,10,1,12,"Plant",14,9,2.99148011107327,0.561224489795918,"module hub"
"14",14,11,1,5,"Plant",14,3,0.858194351535934,0.846938775510204,"connector"
"15",15,12,1,9,"Plant",5,2,1.22474487139159,0.72,"connector"
"16",16,12,2,9,"Plant",3,0,-1.22474487139159,0.666666666666667,"connector"
"17",17,13,1,14,"Plant",3,2,0.408248290463863,0.444444444444444,"peripheral"
"18",18,14,1,16,"Plant",6,4,1.78885438199983,0.5,"peripheral"
"19",19,15,1,10,"Plant",7,3,1.5,0.73469387755102,"connector"
"20",20,16,1,11,"Plant",12,4,1.78885438199983,0.75,"connector"
"21",21,17,2,2,"Plant",1,1,-0.5,0,"peripheral"
"22",22,18,2,2,"Plant",1,1,-0.5,0,"peripheral"
"23",23,19,1,3,"Plant",4,2,-0.194028500029066,0.625,"connector"
"24",24,20,1,3,"Plant",18,7,2.23132775033426,0.796296296296296,"connector"
"25",25,21,1,17,"Plant",6,5,2.04124145231931,0.277777777777778,"peripheral"
"26",26,22,1,15,"Plant",2,1,-0.645497224367903,0.5,"peripheral"
"27",27,23,1,1,"Plant",6,1,-0.612372435695794,0.777777777777778,"connector"
"28",28,24,1,3,"Plant",12,2,-0.194028500029066,0.75,"connector"
"29",29,24,2,3,"Plant",1,1,-0.679099750101732,0,"peripheral"
"30",30,25,1,15,"Plant",2,1,-0.645497224367903,0.5,"peripheral"
"31",31,26,1,4,"Plant",16,6,2.43027776190295,0.734375,"connector"
