"","state_node","node_id","layer_id","module","type","k_total","k_m","z_score","c_score","role"
"1",1,1,1,11,"Plant",1,1,NA,0,"peripheral"
"2",2,2,1,4,"Plant",12,6,1.92370941015966,0.680555555555556,"connector"
"3",3,3,1,1,"Plant",15,7,1.80186549212481,0.72,"connector"
"4",4,3,2,1,"Plant",3,3,0.265849007034808,0,"peripheral"
"5",5,4,2,1,"Plant",3,3,0.265849007034808,0,"peripheral"
"6",6,5,1,2,"Plant",13,3,1.61023512036508,0.804733727810651,"connector"
"7",7,5,2,2,"Plant",1,0,-1.4638501094228,0,"peripheral"
"8",8,6,1,2,"Plant",4,2,0.58554004376912,0.625,"connector"
"9",9,7,1,9,"Plant",4,1,NA,0.75,"connector"
"10",10,8,1,7,"Plant",3,2,0.256776295506548,0.444444444444444,"peripheral"
"11",11,9,1,5,"Plant",9,6,1.29044057430021,0.493827160493827,"peripheral"
"12",12,10,1,3,"Plant",11,4,1.87082869338697,0.793388429752066,"connector"
"13",13,11,1,3,"Plant",2,2,0,0,"peripheral"
"14",14,12,1,1,"Plant",3,1,-0.502159235510192,0.666666666666667,"connector"
"15",15,12,2,1,"Plant",1,1,-0.502159235510192,0,"peripheral"
"16",16,13,1,8,"Plant",7,4,1.78885438199983,0.612244897959184,"peripheral"
"17",17,14,1,5,"Plant",20,13,3.73181463378709,0.54,"module hub"
"18",18,15,2,1,"Plant",1,1,-0.502159235510192,0,"peripheral"
"19",19,16,1,4,"Plant",15,6,1.92370941015966,0.737777777777778,"connector"
"20",20,17,1,5,"Plant",1,1,-0.453398039618993,0,"peripheral"
"21",21,18,1,7,"Plant",6,4,2.05421036405238,0.5,"peripheral"
"22",22,19,1,6,"Plant",6,4,1.95180014589707,0.5,"peripheral"
"23",23,19,2,6,"Plant",1,0,-0.975900072948533,0,"peripheral"
"24",24,20,1,4,"Plant",11,6,1.92370941015966,0.661157024793388,"connector"
"25",25,21,1,1,"Plant",18,13,4.10589021975981,0.462962962962963,"module hub"
"26",26,21,2,1,"Plant",1,1,-0.502159235510192,0,"peripheral"
"27",27,22,1,5,"Plant",1,1,-0.453398039618993,0,"peripheral"
