"","state_node","node_id","layer_id","module","type","k_total","k_m","z_score","c_score","role"
"28",28,23,1,5,"Plant",2,2,-0.104630316835152,0,"peripheral"
"29",29,24,1,3,"Plant",3,2,0,0.444444444444444,"peripheral"
"30",30,25,1,8,"Pol",3,1,-0.447213595499958,0.666666666666667,"connector"
"31",31,26,1,4,"Pol",8,3,0.384741882031933,0.78125,"connector"
"32",32,27,1,1,"Pol",6,3,0.265849007034808,0.666666666666667,"connector"
"33",33,28,1,3,"Pol",1,1,-0.935414346693485,0,"peripheral"
"34",34,29,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"35",35,30,1,7,"Pol",3,2,0.256776295506548,0.444444444444444,"peripheral"
"36",36,31,1,3,"Pol",4,3,0.935414346693485,0.375,"peripheral"
"37",37,32,1,2,"Pol",5,2,0.58554004376912,0.72,"connector"
"38",38,33,1,5,"Pol",3,2,-0.104630316835152,0.444444444444444,"peripheral"
"39",39,34,1,1,"Pol",4,2,-0.118155114237692,0.625,"connector"
"40",40,35,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"41",41,36,1,11,"Pol",2,1,NA,0.5,"peripheral"
"42",42,37,1,8,"Pol",1,1,-0.447213595499958,0,"peripheral"
"43",43,38,1,7,"Pol",2,1,-0.641940738766369,0.5,"peripheral"
"44",44,39,1,4,"Pol",2,2,-0.128247294010644,0,"peripheral"
"45",45,40,1,4,"Pol",2,2,-0.128247294010644,0,"peripheral"
"46",46,41,1,1,"Pol",4,2,-0.118155114237692,0.625,"connector"
"47",47,42,1,2,"Pol",1,1,-0.43915503282684,0,"peripheral"
"48",48,43,1,1,"Pol",4,2,-0.118155114237692,0.625,"connector"
"49",49,44,1,1,"Pol",4,1,-0.502159235510192,0.75,"connector"
"50",50,45,1,7,"Pol",3,1,-0.641940738766369,0.666666666666667,"connector"
"51",51,46,1,5,"Pol",1,1,-0.453398039618993,0,"peripheral"
"52",52,47,1,1,"Pol",1,1,-0.502159235510192,0,"peripheral"
"53",53,48,1,1,"Pol",1,1,-0.502159235510192,0,"peripheral"
"54",54,49,1,4,"Pol",6,2,-0.128247294010644,0.722222222222222,"connector"
"55",55,50,1,6,"Pol",2,1,-0.243975018237133,0.5,"peripheral"
"56",56,51,1,3,"Pol",2,1,-0.935414346693485,0.5,"peripheral"
"57",57,52,1,1,"Pol",1,1,-0.502159235510192,0,"peripheral"
"58",58,53,1,6,"Pol",1,1,-0.243975018237133,0,"peripheral"
"59",59,54,1,1,"Pol",2,2,-0.118155114237692,0,"peripheral"
"60",60,55,1,1,"Pol",1,1,-0.502159235510192,0,"peripheral"
"61",61,56,1,5,"Pol",2,1,-0.453398039618993,0.5,"peripheral"
"62",62,57,1,1,"Pol",1,1,-0.502159235510192,0,"peripheral"
"63",63,58,1,7,"Pol",1,1,-0.641940738766369,0,"peripheral"
"64",64,59,1,6,"Pol",1,1,-0.243975018237133,0,"peripheral"
"65",65,60,1,9,"Pol",2,1,NA,0.5,"peripheral"
"66",66,61,1,5,"Pol",7,5,0.94167285151637,0.448979591836735,"peripheral"
"67",67,62,1,5,"Pol",6,2,-0.104630316835152,0.722222222222222,"connector"
"68",68,63,1,8,"Pol",4,1,-0.447213595499958,0.75,"connector"
"69",69,64,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"70",70,65,1,1,"Pol",5,2,-0.118155114237692,0.72,"connector"
"71",71,66,1,3,"Pol",6,1,-0.935414346693485,0.777777777777778,"connector"
"72",72,67,1,5,"Pol",1,1,-0.453398039618993,0,"peripheral"
"73",73,68,1,5,"Pol",3,2,-0.104630316835152,0.444444444444444,"peripheral"
"74",74,69,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"75",75,70,1,5,"Pol",2,1,-0.453398039618993,0.5,"peripheral"
"76",76,71,1,5,"Pol",2,2,-0.104630316835152,0,"peripheral"
"77",77,72,1,5,"Pol",1,1,-0.453398039618993,0,"peripheral"
"78",78,73,1,5,"Pol",2,1,-0.453398039618993,0.5,"peripheral"
"79",79,74,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"80",80,75,1,4,"Pol",2,1,-0.641236470053221,0.5,"peripheral"
"81",81,76,1,5,"Pol",1,1,-0.453398039618993,0,"peripheral"
"82",82,77,1,8,"Pol",2,1,-0.447213595499958,0.5,"peripheral"
"83",83,78,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"84",84,79,1,5,"Pol",1,1,-0.453398039618993,0,"peripheral"
"85",85,80,1,5,"Pol",2,1,-0.453398039618993,0.5,"peripheral"
"86",86,81,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"87",87,82,1,4,"Pol",1,1,-0.641236470053221,0,"peripheral"
"88",88,83,1,6,"Pol",1,1,-0.243975018237133,0,"peripheral"
"89",89,84,1,5,"Pol",1,1,-0.453398039618993,0,"peripheral"
"90",90,85,1,1,"Pol",2,1,-0.502159235510192,0.5,"peripheral"
"91",91,86,1,10,"Pol",5,0,NA,0.72,"connector"
"92",92,87,1,2,"Pol",1,1,-0.43915503282684,0,"peripheral"
"93",93,88,1,2,"Pol",1,1,-0.43915503282684,0,"peripheral"
"94",94,89,1,7,"Pol",3,1,-0.641940738766369,0.666666666666667,"connector"
"95",95,90,1,1,"Pol",3,1,-0.502159235510192,0.666666666666667,"connector"
"96",96,91,1,3,"Pol",8,2,0,0.78125,"connector"
"97",97,92,2,1,"Disp",2,2,-0.118155114237692,0,"peripheral"
"98",98,93,2,1,"Disp",1,1,-0.502159235510192,0,"peripheral"
"99",99,94,2,1,"Disp",7,5,1.03385724957981,0.448979591836735,"peripheral"
"100",100,95,2,1,"Disp",1,1,-0.502159235510192,0,"peripheral"
