"","Aca_ova","Ade_chi","Als_aur","Ari_chi","Aza_mic","Bac_sal","Ber_dar","Col_hys","Con_aja","Cyn_die","Cyt_sco","Gal_hyp","Gav_odo","Ger_mag","Lab_ana","Lum_api","May_boa","May_chu","Mut_dec","Mut_spi","Osm_chi","Pha_sec","Pla_lan","Pru_avi","Pru_vul","Rib_mag","Ros_rub","Rub_ida","Sch_pat","Sol_nit","sp_3","Tar_offi","Tri_cor","Tri_pra","Val_sp","Vic_nig","Vio_mac"
"Bom_dah",0,0,1,5,0,20,0,0,0,0,0,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,7,0
"Bom_rud",0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bom_ter",0,0,35,8,0,70,49,22,0,0,10,0,0,0,1,3,0,0,1,24,0,0,4,98,0,63,45,0,0,3,0,0,3,3,0,0,0
"Col_sem",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mar_rojmarr",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mosc_culro",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Nar_culo_neg",0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sep_sep",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0
"sp1",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,1
"sp10",0,0,0,0,0,7,44,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,74,0,0,0,0,21,0,0,0,0,0,0
"sp100",0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0
"sp101",0,0,0,31,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,1,0,0,0,0,0
"sp102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"sp105",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"sp106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"sp107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"sp109",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"sp11",0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,10,0,0
"sp111",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"sp112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp113",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp14",0,0,3,28,3,0,23,0,3,0,37,0,0,0,2,0,0,0,0,2,0,0,0,3,0,22,0,38,82,0,4,2,12,0,7,27,0
