"","node_id","name_node","Type"
"1",1,"Aca_ova","Plant"
"2",2,"Ade_chi","Plant"
"3",3,"Als_aur","Plant"
"4",4,"Ari_chi","Plant"
"5",5,"Aza_mic","Plant"
"6",6,"Bac_sal","Plant"
"7",7,"Ber_dar","Plant"
"8",8,"Col_hys","Plant"
"9",9,"Con_aja","Plant"
"10",10,"Cyn_die","Plant"
"11",11,"Cyt_sco","Plant"
"12",12,"Gal_hyp","Plant"
"13",13,"Gav_odo","Plant"
"14",14,"Ger_mag","Plant"
"15",15,"Lab_ana","Plant"
"16",16,"Lum_api","Plant"
"17",17,"May_boa","Plant"
"18",18,"May_chu","Plant"
"19",19,"Mut_dec","Plant"
"20",20,"Mut_spi","Plant"
"21",21,"Osm_chi","Plant"
"22",22,"Pha_sec","Plant"
"23",23,"Pla_lan","Plant"
"24",24,"Pru_avi","Plant"
"25",25,"Pru_vul","Plant"
"26",26,"Rib_mag","Plant"
"27",27,"Ros_rub","Plant"
"28",28,"Rub_ida","Plant"
"29",29,"Sch_pat","Plant"
"30",30,"Sol_nit","Plant"
"31",31,"sp_3","Plant"
"32",32,"Tar_offi","Plant"
"33",33,"Tri_cor","Plant"
"34",34,"Tri_pra","Plant"
"35",35,"Val_sp","Plant"
"36",36,"Vic_nig","Plant"
"37",37,"Vio_mac","Plant"
"38",38,"Bom_dah","Pol"
"39",39,"Bom_rud","Pol"
"40",40,"Bom_ter","Pol"
"41",41,"Col_sem","Pol"
"42",42,"Mar_rojmarr","Pol"
"43",43,"mosc_culro","Pol"
"44",44,"Nar_culo_neg","Pol"
"45",45,"Sep_sep","Pol"
"46",46,"sp1","Pol"
"47",47,"sp10","Pol"
"48",48,"sp100","Pol"
"49",49,"sp101","Pol"
"50",50,"sp102","Pol"
"51",51,"sp105","Pol"
"52",52,"sp106","Pol"
"53",53,"sp107","Pol"
"54",54,"sp108","Pol"
"55",55,"sp109","Pol"
"56",56,"sp11","Pol"
"57",57,"sp111","Pol"
"58",58,"sp112","Pol"
"59",59,"sp113","Pol"
"60",60,"sp14","Pol"
"61",61,"sp15","Pol"
"62",62,"sp16","Pol"
"63",63,"sp17","Pol"
"64",64,"sp18","Pol"
"65",65,"sp19","Pol"
"66",66,"sp2","Pol"
"67",67,"sp20","Pol"
"68",68,"sp21","Pol"
"69",69,"sp23","Pol"
"70",70,"sp25","Pol"
"71",71,"sp26","Pol"
"72",72,"sp27","Pol"
"73",73,"sp28","Pol"
"74",74,"sp29","Pol"
"75",75,"sp3","Pol"
"76",76,"sp30","Pol"
"77",77,"sp31","Pol"
"78",78,"sp32","Pol"
"79",79,"sp33","Pol"
"80",80,"sp34","Pol"
"81",81,"sp37","Pol"
"82",82,"sp39","Pol"
"83",83,"sp4","Pol"
"84",84,"sp41","Pol"
"85",85,"sp42","Pol"
"86",86,"sp43","Pol"
"87",87,"sp45","Pol"
"88",88,"sp46","Pol"
"89",89,"sp47","Pol"
"90",90,"sp48","Pol"
"91",91,"sp49","Pol"
"92",92,"sp5","Pol"
"93",93,"sp50","Pol"
"94",94,"sp51","Pol"
"95",95,"sp52","Pol"
"96",96,"sp53","Pol"
"97",97,"sp54","Pol"
"98",98,"sp55","Pol"
"99",99,"sp56","Pol"
"100",100,"sp57","Pol"
"101",101,"sp58","Pol"
"102",102,"sp6","Pol"
"103",103,"sp60","Pol"
"104",104,"sp61","Pol"
"105",105,"sp62","Pol"
"106",106,"sp63","Pol"
"107",107,"sp64","Pol"
"108",108,"sp65","Pol"
"109",109,"sp66","Pol"
"110",110,"sp67","Pol"
"111",111,"sp7","Pol"
"112",112,"sp70","Pol"
"113",113,"sp72","Pol"
"114",114,"sp73","Pol"
"115",115,"sp76","Pol"
"116",116,"sp8","Pol"
"117",117,"sp82","Pol"
"118",118,"sp83","Pol"
"119",119,"sp84","Pol"
"120",120,"sp85","Pol"
"121",121,"sp87","Pol"
"122",122,"sp88","Pol"
"123",123,"sp9","Pol"
"124",124,"sp90","Pol"
"125",125,"sp91","Pol"
"126",126,"sp94","Pol"
"127",127,"sp95","Pol"
"128",128,"sp96","Pol"
"129",129,"sp97","Pol"
"130",130,"sp99","Pol"
"131",131,"Ves_chi","Pol"
"132",132,"Ves_ger","Pol"
"133",133,"Aph_spi","Disp"
"134",134,"Dro_gli","Disp"
"135",135,"Ela_alb","Disp"
"136",136,"Tur_fal","Disp"
