"","Aca_ova","Ade_chi","Als_aur","Ari_chi","Aza_mic","Bac_sal","Ber_dar","Col_hys","Con_aja","Cyn_die","Cyt_sco","Gal_hyp","Gav_odo","Ger_mag","Lab_ana","Lum_api","May_boa","May_chu","Mut_dec","Mut_spi","Osm_chi","Pha_sec","Pla_lan","Pru_avi","Pru_vul","Rib_mag","Ros_rub","Rub_ida","Sch_pat","Sol_nit","sp_3","Tar_offi","Tri_cor","Tri_pra","Val_sp","Vic_nig","Vio_mac"
"Aph_spi",0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Dro_gli",0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,4,3,0,0,0,0,0,0,0,16,0,0,6,0,0,0,561,0,0,0,0
"Ela_alb",0,0,0,131,159,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,194,0,0,0,0,0,0,0,0
"Tur_fal",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
